num,codigo,titulo,descripcion,url_relativa,url_completa
231,OCULTARTRMIATA,Ocultar TRM IATA,Parámetro para definir si se refleja el cambio IATA en el encabezado,params/231_Ocultar_TRM_IATA.html,https://pacardenaz.github.io/parametros-manual/params/231_Ocultar_TRM_IATA.html
232,TIPOSPASAJEROSBUSQUEDA,Seleccionar los tipos de pasajero en el buscador,Seleccionar los tipos de pasajero en el buscador,params/232_Seleccionar_los_tipos_de_pasajero_en_el_buscador.html,https://pacardenaz.github.io/parametros-manual/params/232_Seleccionar_los_tipos_de_pasajero_en_el_buscador.html
233,OCULTARENVIOCOTIZACION,Ocultar envio de cotizaciones,"Parámetro para ocultar la opción de enviar cotización, aplicar para todos los servicios de la OBT.",params/233_Ocultar_envio_de_cotizaciones.html,https://pacardenaz.github.io/parametros-manual/params/233_Ocultar_envio_de_cotizaciones.html
234,REPLICARPARAMBUSQUEDA,Replicar parámetros de búsqueda,Replicar parámetros de búsqueda,params/234_Replicar_parámetros_de_búsqueda.html,https://pacardenaz.github.io/parametros-manual/params/234_Replicar_parámetros_de_búsqueda.html
235,MOSTRAROPCIONCOTIZACION,Mostrar opción cotización,Parámetro para definir qué tipo de usuario puede reflejar la opción de enviar cotizaciones,params/235_Mostrar_opción_cotización.html,https://pacardenaz.github.io/parametros-manual/params/235_Mostrar_opción_cotización.html
236,INFOADICIONALPASAJEROSETICKET,Mostrar información Adicional del Pasajero en la confirmación de reserva y eTicket,Mostrar información Adicional del Pasajero en la confirmación de reserva y eTicket,params/236_Mostrar_información_Adicional_del_Pasajero_en_la_confirmación_de_reser.html,https://pacardenaz.github.io/parametros-manual/params/236_Mostrar_información_Adicional_del_Pasajero_en_la_confirmación_de_reser.html
237,INACTIVARUSUARIO90DIAS,Inactivar usuario al pasar 90 días sin loguearse,Inactivar usuario al pasar 90 días sin loguearse,params/237_Inactivar_usuario_al_pasar_90_días_sin_loguearse.html,https://pacardenaz.github.io/parametros-manual/params/237_Inactivar_usuario_al_pasar_90_días_sin_loguearse.html
238,ALLOWREOPENLOC,Permitir que se adicionen otras reservas en un localizador Aprobado/Emitido,Permitir que se adicionen otras reservas en un localizador Aprobado/Emitido,params/238_Permitir_que_se_adicionen_otras_reservas_en_un_localizador_AprobadoEmi.html,https://pacardenaz.github.io/parametros-manual/params/238_Permitir_que_se_adicionen_otras_reservas_en_un_localizador_AprobadoEmi.html
239,OCULTARCAMPOSBACKOFFICEBACKEND,Ocultar los formularios del BackOffice,Ocultar los formularios del BackOffice,params/239_Ocultar_los_formularios_del_BackOffice.html,https://pacardenaz.github.io/parametros-manual/params/239_Ocultar_los_formularios_del_BackOffice.html
240,OCULTARCAMPOSVIATICOSBACKEND,Ocultar viaticos en el Backend,Parámetro para definir si se reflejan o no los campos de Viaticos en el formulario de entidades que se encuentra en el Backend,params/240_Ocultar_viaticos_en_el_Backend.html,https://pacardenaz.github.io/parametros-manual/params/240_Ocultar_viaticos_en_el_Backend.html
241,DIASHABILESSOLICITUDNAL,Dias habiles para realizar una solicitud aerea Nacional,Dias habiles para realizar una solicitud aerea Nacional,params/241_Dias_habiles_para_realizar_una_solicitud_aerea_Nacional.html,https://pacardenaz.github.io/parametros-manual/params/241_Dias_habiles_para_realizar_una_solicitud_aerea_Nacional.html
242,MOSTRARHISTRETRIEVECLIENTE,Mostrar sección de historico al cliente,Mostrar sección de historico al cliente,params/242_Mostrar_sección_de_historico_al_cliente.html,https://pacardenaz.github.io/parametros-manual/params/242_Mostrar_sección_de_historico_al_cliente.html
243,PUEDEEDITAREMAILPERFILUSUARIO,Permitir editar campo email en el perfil del pasajero,Permitir editar campo email en el perfil del pasajero,params/243_Permitir_editar_campo_email_en_el_perfil_del_pasajero.html,https://pacardenaz.github.io/parametros-manual/params/243_Permitir_editar_campo_email_en_el_perfil_del_pasajero.html
244,PUEDEEDITARCECOPERFILUSUARIO,Puede editar los centros de costos en el perfil del pasajero,Puede editar los centros de costos en el perfil del pasajero,params/244_Puede_editar_los_centros_de_costos_en_el_perfil_del_pasajero.html,https://pacardenaz.github.io/parametros-manual/params/244_Puede_editar_los_centros_de_costos_en_el_perfil_del_pasajero.html
245,NUMDIASLISTARESERVAS,Numero de días por defecto en la lista de reservas,Numero de días por defecto en la lista de reservas,params/245_Numero_de_días_por_defecto_en_la_lista_de_reservas.html,https://pacardenaz.github.io/parametros-manual/params/245_Numero_de_días_por_defecto_en_la_lista_de_reservas.html
246,OCULTARMARCACIONDESILLAS,Ocultar marcacion de sillas,Parámetro que permite ocultar mapa para la marcación de sillas,params/246_Ocultar_marcacion_de_sillas.html,https://pacardenaz.github.io/parametros-manual/params/246_Ocultar_marcacion_de_sillas.html
247,MOSTRARDOCUMENTORETRIEVE,Mostrar documento en el retrieve hoteles producto propio,Mostrar documento en el retrieve hoteles producto propio,params/247_Mostrar_documento_en_el_retrieve_hoteles_producto_propio.html,https://pacardenaz.github.io/parametros-manual/params/247_Mostrar_documento_en_el_retrieve_hoteles_producto_propio.html
248,NOHEREDARPOLITICAS,No heredar politicas de la entidad padre,No heredar politicas de la entidad padre,params/248_No_heredar_politicas_de_la_entidad_padre.html,https://pacardenaz.github.io/parametros-manual/params/248_No_heredar_politicas_de_la_entidad_padre.html
249,PORCENTAJEIVAFEE,Porcentaje iva tarifa administrativa,Porcentaje iva tarifa administrativa,params/249_Porcentaje_iva_tarifa_administrativa.html,https://pacardenaz.github.io/parametros-manual/params/249_Porcentaje_iva_tarifa_administrativa.html
250,OCULTARCOLUMNATASAS,Ocultar columna total tasas al tarifar y retrieve,Ocultar columna total tasas al tarifar y retrieve,params/250_Ocultar_columna_total_tasas_al_tarifar_y_retrieve.html,https://pacardenaz.github.io/parametros-manual/params/250_Ocultar_columna_total_tasas_al_tarifar_y_retrieve.html
251,OCULTARCOLUMNADETALLES,Ocultar opcion para ver detalle de impuestos,Ocultar opcion para ver detalle de impuestos,params/251_Ocultar_opcion_para_ver_detalle_de_impuestos.html,https://pacardenaz.github.io/parametros-manual/params/251_Ocultar_opcion_para_ver_detalle_de_impuestos.html
252,COLAPSADOAPROBADORES,Seccion aprobadores colapsado por defecto,Seccion aprobadores colapsado por defecto,params/252_Seccion_aprobadores_colapsado_por_defecto.html,https://pacardenaz.github.io/parametros-manual/params/252_Seccion_aprobadores_colapsado_por_defecto.html
253,MANEJASERVICIOSOFFLINE,Offline,Este parámetro indica si la agencia maneja servicios offline,params/253_Offline.html,https://pacardenaz.github.io/parametros-manual/params/253_Offline.html
